date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:07:14	94251/94251	---M--	200	added ('OK')	image/png	etag:%221702b-64a17b35fb5c2%22	http://103.158.133.62/assets/images/bbc-earth.png	C:/Users/USER/Downloads/aa/103.158.133.62/assets/images/bbc-earth.png	(from http://103.158.133.62/)
15:07:14	36413/36413	---M--	200	added ('OK')	image/png	etag:%228e3d-64a503a63a0a8%22	http://103.158.133.62/assets/images/discoveryscience.png	C:/Users/USER/Downloads/aa/103.158.133.62/assets/images/discoveryscience.png	(from http://103.158.133.62/)
15:07:16	8671/8671	---M--	200	added ('OK')	image/png	etag:%2221df-64a50568dc5e7%22	http://103.158.133.62/assets/images/discoveryturbo.png	C:/Users/USER/Downloads/aa/103.158.133.62/assets/images/discoveryturbo.png	(from http://103.158.133.62/)
15:07:17	26480/26480	---M--	200	added ('OK')	image/png	etag:%226770-64a50497c5842%22	http://103.158.133.62/assets/images/investigationdiscovery.png	C:/Users/USER/Downloads/aa/103.158.133.62/assets/images/investigationdiscovery.png	(from http://103.158.133.62/)
15:07:18	13128/13128	---M--	200	added ('OK')	image/png	etag:%223348-64b2ac856f14e%22	http://103.158.133.62/assets/images/wild-earth.png	C:/Users/USER/Downloads/aa/103.158.133.62/assets/images/wild-earth.png	(from http://103.158.133.62/)
15:07:19	68738/68738	---M--	200	added ('OK')	image/png	etag:%2210c82-645e9ab961261%22	http://103.158.133.62/assets/images/discovery.png	C:/Users/USER/Downloads/aa/103.158.133.62/assets/images/discovery.png	(from http://103.158.133.62/)
15:07:19	515/515	---M--	200	added ('OK')	text/javascript	etag:%22203-645e9ac382e55%22	http://103.158.133.62/js/scripts.js	C:/Users/USER/Downloads/aa/103.158.133.62/js/scripts.js	(from http://103.158.133.62/)
15:07:22	260/260	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Feb%202026%2009:07:20%20GMT	http://103.158.133.62/img/bgu.jpg	C:/Users/USER/Downloads/aa/103.158.133.62/img/bgu.7e.delayed	(from http://103.158.133.62/css/style.css)
15:07:24	216975/216975	---M--	200	added ('OK')	text/css	etag:%2234f8f-645e9ac29a796%22	http://103.158.133.62/css/bootstrap.min.css	C:/Users/USER/Downloads/aa/103.158.133.62/css/bootstrap.min.css	(from http://103.158.133.62/)
15:07:30	74088/74088	---M--	200	added ('OK')	image/png	etag:%2212168-64b29f499d205%22	http://103.158.133.62/assets/images/peacetv-bangla.png	C:/Users/USER/Downloads/aa/103.158.133.62/assets/images/peacetv-bangla.png	(from http://103.158.133.62/)
15:07:46	167996/167996	---M--	200	added ('OK')	text/javascript	etag:%222903c-645e9ac36d695%22	http://103.158.133.62/js/jquery.min.js	C:/Users/USER/Downloads/aa/103.158.133.62/js/jquery.min.js	(from http://103.158.133.62/)
15:07:48	55930/55930	UR-M--	200	added ('Partial%20Content')	image/png	etag:%22da7a-64a507b6e77c7%22	http://103.158.133.62/assets/images/b4umovie.png	C:/Users/USER/Downloads/aa/103.158.133.62/assets/images/b4umovie.png	(from http://103.158.133.62/)
15:07:50	21933/21933	UR-M--	200	added ('Partial%20Content')	image/png	etag:%2255ad-64a50834893a5%22	http://103.158.133.62/assets/images/b4umusic.png	C:/Users/USER/Downloads/aa/103.158.133.62/assets/images/b4umusic.png	(from http://103.158.133.62/)
15:07:52	525081/525081	---MCZ	200	added ('OK')	application/javascript	etag:W/%2280319-k2KF+cjIWnSaHvjPxNXoS36ivIk%22	https://cdn.jsdelivr.net/npm/clappr@latest/dist/clappr.min.js	C:/Users/USER/Downloads/aa/cdn.jsdelivr.net/npm/clappr@latest/dist/clappr.min.js	(from http://103.158.133.62/)
15:07:53	75910/75910	UR-M--	200	added ('Partial%20Content')	image/png	etag:%2212886-645e9abbc861e%22	http://103.158.133.62/assets/images/masti.png	C:/Users/USER/Downloads/aa/103.158.133.62/assets/images/masti.png	(from http://103.158.133.62/)
15:08:26	562842/562842	---M--	200	added ('OK')	image/png	etag:%228969a-645e9ac323315%22	http://103.158.133.62/img/well.png	C:/Users/USER/Downloads/aa/103.158.133.62/img/well.png	(from http://103.158.133.62/wel.html)
